-98,14,15cc,100%
-95,13,9cc,100%
-92,15,15cc,50%
-96,27,15cc,75%
-110,13,15cc,75%
-112,22,9cc,0%
-92,28,15cc,25%
-116,18,15cc,25%
-90,30,15cc,0%
-117,22,15cc,100%
-95,2,9cc,75%
-83,12,9cc,75%
-82,11,15cc,100%
-100,39,9cc,25%
-83,6,9cc,0%
-79,15,15cc,75%
-121,28,9cc,50%
-97,-4,15cc,75%
-80,8,9cc,50%
-97,42,9cc,50%
-110,41,15cc,0%
-103,-7,9cc,50%
-115,-3,9cc,125%
-125,8,15cc,75%
-98,44,9cc,75%
-117,-3,15cc,50%
-85,-3,9cc,75%
-126,27,9cc,25%
-75,10,9cc,50%
-86,41,15cc,50%
-107,45,15cc,75%
-123,36,15cc,50%
-74,9,15cc,75%
-115,-8,15cc,125%
-86,44,15cc,100%
-99,48,9cc,125%
-103,-12,15cc,75%
-78,-2,15cc,100%
-88,46,9cc,125%
-129,5,9cc,75%
-132,22,15cc,25%
-130,31,15cc,75%
-94,-13,15cc,75%
-104,-14,9cc,75%
-96,-14,9cc,50%
-128,36,15cc,100%
-128,0,9cc,25%
-115,48,9cc,50%
-88,49,9cc,100%
-68,11,9cc,100%
-128,39,9cc,50%
-129,38,15cc,50%
-77,43,9cc,50%
-70,2,15cc,125%
-115,50,15cc,25%
-94,-17,15cc,75%
-65,18,15cc,50%
-137,23,15cc,0%
-82,-13,15cc,75%
-76,45,15cc,50%
-72,41,15cc,25%
-68,1,15cc,100%
-111,54,15cc,75%
-75,45,15cc,50%
-76,46,15cc,50%
-76,-10,15cc,50%
-119,51,15cc,0%
-118,52,9cc,50%
-98,56,9cc,25%
-65,31,9cc,50%
-141,12,9cc,25%
-132,44,15cc,75%
-127,-13,9cc,75%
-66,-3,15cc,25%
-80,-17,9cc,25%
-101,-23,9cc,0%
-71,-10,9cc,50%
-62,31,9cc,100%
-120,-19,15cc,125%
-83,-20,9cc,25%
-131,48,9cc,75%
-125,53,15cc,25%
-66,-6,15cc,75%
-66,-8,15cc,75%
-127,-17,15cc,50%
-132,-13,15cc,0%
-131,50,9cc,75%
-110,-25,15cc,25%
-101,62,15cc,25%
-144,28,15cc,75%
-80,57,9cc,50%
-124,-20,15cc,125%
-132,-14,15cc,0%
-68,-12,9cc,25%
-141,-2,9cc,150%
-66,-10,9cc,75%
-71,-16,9cc,0%
-69,-15,15cc,0%
-147,17,15cc,75%
-124,-23,15cc,75%
-61,-7,15cc,0%
-92,65,9cc,100%
-53,18,15cc,50%
-111,-29,15cc,0%
-53,21,9cc,75%
-105,-30,9cc,100%
-141,-9,15cc,75%
-86,64,9cc,100%
-66,-16,15cc,75%
-148,3,15cc,75%
-110,67,9cc,50%
-151,16,9cc,75%
-79,63,15cc,75%
-64,52,15cc,50%
-50,20,9cc,50%
-51,29,15cc,50%
-51,7,9cc,125%
-52,2,15cc,150%
-152,10,15cc,125%
-145,-9,9cc,75%
-120,-30,15cc,125%
-93,-33,15cc,100%
-147,-6,15cc,125%
-56,-8,9cc,25%
-78,-29,15cc,0%
-66,57,15cc,50%
-56,-9,15cc,25%
-120,-31,15cc,100%
-93,-34,9cc,125%
-152,5,9cc,125%
-125,-29,15cc,75%
-51,1,15cc,125%
-102,71,15cc,50%
-133,61,9cc,75%
-59,-16,9cc,75%
-126,-30,9cc,50%
-97,72,15cc,50%
-148,-9,9cc,50%
-122,-32,15cc,25%
-155,25,15cc,0%
-63,-21,9cc,0%
-121,69,9cc,25%
-111,72,9cc,25%
-149,-9,15cc,100%
-138,-23,9cc,25%
-85,71,9cc,50%
-123,69,9cc,25%
-81,-34,9cc,100%
-138,-24,9cc,25%
-64,-24,9cc,25%
-154,37,15cc,25%
-48,-1,15cc,100%
-148,-13,15cc,75%
-45,12,9cc,50%
-77,-33,15cc,25%
-49,-4,9cc,100%
-156,3,15cc,75%
-158,14,9cc,125%
-55,52,15cc,100%
-106,75,9cc,100%
-106,-39,9cc,25%
-152,-8,9cc,125%
-45,30,9cc,25%
-68,65,15cc,150%
-114,-38,9cc,50%
-155,38,9cc,25%
-44,31,15cc,0%
-58,58,9cc,75%
-51,49,15cc,50%
-64,-28,15cc,50%
-99,-41,9cc,0%
-42,15,9cc,75%
-155,-6,9cc,125%
-45,-1,9cc,100%
-123,73,9cc,50%
-49,47,15cc,50%
-147,56,9cc,25%
-59,61,15cc,100%
-74,72,9cc,75%
-84,76,15cc,25%
-109,-42,15cc,25%
-162,22,9cc,25%
-80,76,15cc,50%
-46,46,15cc,0%
-61,-29,9cc,25%
-158,42,15cc,25%
-105,-44,9cc,0%
-94,-44,9cc,0%
-163,26,15cc,25%
-40,3,9cc,0%
-142,66,9cc,25%
-53,-23,9cc,25%
-89,-44,15cc,0%
-44,46,15cc,0%
-66,-35,9cc,25%
-56,63,9cc,100%
-143,-30,9cc,100%
-103,82,15cc,0%
-161,-5,9cc,75%
-38,5,15cc,75%
-83,80,15cc,75%
-40,40,9cc,25%
-43,-11,15cc,100%
-97,-47,9cc,0%
-39,-2,15cc,25%
-84,81,15cc,75%
-95,83,15cc,25%
-165,32,9cc,50%
-110,83,9cc,0%
-90,-47,9cc,0%
-35,19,9cc,25%
-167,12,9cc,75%
-149,64,15cc,125%
-166,4,9cc,25%
-52,-27,15cc,25%
-116,-47,15cc,50%
-159,-15,9cc,100%
-120,-46,9cc,0%
-143,70,9cc,50%
-46,-20,15cc,75%
-149,65,15cc,125%
-35,5,9cc,50%
-128,80,15cc,125%
-111,85,9cc,0%
-90,-49,15cc,0%
-158,55,9cc,25%
-137,-40,9cc,75%
-35,0,15cc,75%
-123,83,15cc,75%
-54,68,15cc,50%
-36,40,15cc,0%
-126,-46,9cc,50%
-90,-50,9cc,0%
-137,-41,15cc,75%
-122,84,15cc,75%
-39,-13,9cc,50%
-72,81,15cc,100%
-109,-51,15cc,150%
-110,87,9cc,0%
-141,75,9cc,75%
-166,-7,9cc,100%
-82,-49,15cc,50%
-155,-26,15cc,75%
-135,79,15cc,25%
-135,-43,15cc,25%
-43,57,15cc,100%
-78,-48,9cc,25%
-99,88,15cc,100%
-171,13,9cc,100%
-63,-41,9cc,50%
-80,85,9cc,25%
-165,-11,15cc,100%
-66,79,9cc,50%
-69,-45,15cc,50%
-152,67,9cc,0%
-172,18,15cc,75%
-56,73,15cc,100%
-172,14,9cc,100%
-68,-45,15cc,0%
-171,5,15cc,75%
-136,-44,15cc,75%
-86,88,9cc,50%
-171,33,9cc,25%
-167,47,9cc,75%
-114,-53,15cc,75%
-39,55,15cc,75%
-64,-44,9cc,0%
-163,56,15cc,25%
-48,68,9cc,50%
-172,35,9cc,50%
-174,17,9cc,50%
-174,25,15cc,75%
-131,-49,9cc,25%
-142,-43,9cc,100%
-42,62,9cc,125%
-170,44,9cc,25%
-58,78,15cc,75%
-102,92,9cc,0%
-140,-45,9cc,100%
-131,-50,15cc,25%
-151,-37,15cc,100%
-129,-51,9cc,0%
-168,51,9cc,125%
-174,35,15cc,0%
-26,15,15cc,0%
-96,93,9cc,75%
-31,46,15cc,25%
-39,61,9cc,25%
-146,-43,15cc,25%
-125,90,15cc,50%
-84,92,15cc,75%
-149,77,9cc,50%
-35,56,15cc,50%
-120,92,15cc,0%
-82,-56,15cc,75%
-44,69,15cc,50%
-31,49,15cc,0%
-151,-40,9cc,75%
-161,-30,9cc,150%
-69,-52,9cc,0%
-168,-20,9cc,25%
-98,95,9cc,50%
-114,94,9cc,75%
-37,-25,9cc,75%
-97,-59,9cc,75%
-56,-45,15cc,25%
-37,-26,15cc,75%
-47,-38,15cc,100%
-32,54,15cc,0%
-28,-9,9cc,0%
-69,89,9cc,25%
-153,76,9cc,75%
-42,-33,9cc,150%
-104,-60,15cc,25%
-177,38,9cc,100%
-153,77,9cc,75%
-24,34,9cc,50%
-23,7,9cc,100%
-150,-44,9cc,75%
-22,13,9cc,0%
-68,90,15cc,25%
-180,11,9cc,0%
-23,33,9cc,50%
-26,-9,15cc,50%
-180,30,15cc,75%
-47,77,9cc,50%
-36,65,9cc,75%
-181,25,9cc,75%
-127,-58,9cc,75%
-93,98,15cc,100%
-144,86,9cc,25%
-21,29,15cc,25%
-170,-24,9cc,0%
-118,-61,15cc,100%
-103,99,9cc,25%
-103,-63,15cc,0%
-23,40,15cc,25%
-104,99,15cc,0%
-152,-45,9cc,75%
-95,-63,9cc,50%
-109,99,9cc,25%
-137,-55,15cc,0%
-63,-54,15cc,0%
-117,-62,9cc,100%
-62,90,9cc,0%
-20,30,9cc,50%
-134,93,15cc,25%
-51,-47,9cc,0%
-183,16,9cc,25%
-183,13,15cc,50%
-21,-1,15cc,100%
-29,-22,15cc,75%
-143,-53,15cc,75%
-85,-63,15cc,50%
-19,7,9cc,25%
-41,75,15cc,50%
-22,-7,9cc,75%
-39,-37,15cc,150%
-164,-36,15cc,75%
-107,-65,15cc,50%
-133,95,9cc,25%
